Time,Hum,Temp,sootM,sootN,CO2,sootA,CMD,
4-1-2016T14-04-47,7.58,24.46,11.7991,0.0684982,456.664,9.02129,518.287,
4-1-2016T14-04-52,7.544,24.46,11.7422,0.0675682,467.962,8.92674,518.223,
4-1-2016T14-04-57,7.268,24.46,11.8187,0.0675823,474.474,8.94856,518.947,
4-1-2016T14-05-02,7.038,24.452,11.7916,0.0669185,488.746,8.88433,521.134,
4-1-2016T14-05-07,6.976,24.45,12.6904,0.0711553,486.922,9.48681,523.921,
4-1-2016T14-05-12,6.938,24.45,13.2637,0.0735329,489.89,9.84271,525.458,
4-1-2016T14-05-17,6.9,24.45,12.6735,0.069749,490.954,9.36022,525.897,
4-1-2016T14-05-22,6.94,24.45,12.4321,0.0680302,491.21,9.14795,526.424,
4-1-2016T14-05-27,6.924,24.45,13.3674,0.0727227,490.222,9.79902,527.23,
4-1-2016T14-05-32,6.882,24.45,14.0774,0.076174,496.624,10.2835,528.298,
4-1-2016T14-05-37,6.924,24.45,14.0543,0.0755885,494.336,10.2261,529.842,
4-1-2016T14-05-42,6.948,24.45,14.0236,0.07491,489.528,10.1586,531.11,
4-1-2016T14-05-47,6.908,24.45,14.0547,0.0745934,481.02,10.1385,531.995,
4-1-2016T14-05-52,6.892,24.45,14.1572,0.0746965,475.866,10.1735,532.955,
4-1-2016T14-05-57,6.87,24.45,13.3484,0.0700579,478.27,9.5594,534.052,
4-1-2016T14-06-02,6.836,24.45,12.358,0.0645136,480.518,8.8194,534.996,
4-1-2016T14-06-07,6.792,24.45,12.5402,0.0650736,477.102,8.91461,535.795,
4-1-2016T14-06-12,6.78,24.45,12.9764,0.0669854,478.496,9.19337,536.47,
4-1-2016T14-06-17,6.802,24.45,13.6764,0.0702793,483.172,9.6608,536.962,
4-1-2016T14-06-22,6.86,24.45,14.3835,0.0737531,477.196,10.146,536.301,
4-1-2016T14-06-27,6.964,24.45,14.1918,0.0729627,466.82,10.028,534.067,
4-1-2016T14-06-32,7.026,24.45,13.7876,0.0714541,458.672,9.7931,530.915,
4-1-2016T14-06-37,7.126,24.45,13.3428,0.0700187,459.076,9.55428,527.362,
4-1-2016T14-06-42,7.158,24.45,12.8976,0.0687161,469.824,9.32668,524.134,
4-1-2016T14-06-47,7.248,24.452,12.0241,0.0650011,471.404,8.7775,521.657,
4-1-2016T14-06-52,7.308,24.46,11.4662,0.0627936,472.218,8.44105,520.772,
4-1-2016T14-06-57,7.316,24.46,11.5948,0.0640132,471.834,8.58089,521.498,
4-1-2016T14-07-02,7.284,24.46,11.7963,0.0652911,469.736,8.74463,522.362,
4-1-2016T14-07-07,7.452,24.46,12.1633,0.067324,469.608,9.01695,522.793,
4-1-2016T14-07-12,7.576,24.46,12.6412,0.0699839,470.898,9.37258,522.353,
4-1-2016T14-07-17,7.564,24.46,12.7585,0.0708278,471.926,9.47651,520.965,
4-1-2016T14-07-22,7.488,24.464,12.6162,0.0703314,474.388,9.39633,520.159,
4-1-2016T14-07-27,7.374,24.47,12.5061,0.0699306,479.224,9.33283,520.188,
4-1-2016T14-07-32,7.378,24.47,12.4138,0.0695286,473.778,9.27387,520.162,
4-1-2016T14-07-37,7.338,24.47,12.5845,0.0706147,469.918,9.41267,519.674,
4-1-2016T14-07-42,7.188,24.47,12.746,0.0716728,470.12,9.54663,519.346,
4-1-2016T14-07-47,7.014,24.47,12.7018,0.0715219,466.24,9.52198,519.396,
4-1-2016T14-07-52,6.878,24.47,12.6944,0.0715343,459.178,9.52112,519.338,
4-1-2016T14-07-57,6.846,24.47,13.1894,0.0744253,459.434,9.90118,518.779,
4-1-2016T14-08-02,6.884,24.47,13.3694,0.0756696,463.918,10.056,517.624,
4-1-2016T14-08-07,6.938,24.47,13.2062,0.0751325,462.87,9.96661,516.008,
4-1-2016T14-08-12,6.972,24.47,13.1386,0.0752469,462.014,9.95852,514.716,
4-1-2016T14-08-17,6.98,24.47,13.2388,0.0762838,462.534,10.0742,514.071,
4-1-2016T14-08-22,6.98,24.47,13.2654,0.0767445,467.434,10.1209,514.138,
4-1-2016T14-08-27,6.986,24.46,13.2304,0.0766235,465.278,10.1012,514.938,
4-1-2016T14-08-32,7.048,24.46,13.1928,0.0761937,462.394,10.0543,516.761,
4-1-2016T14-08-37,7.096,24.46,13.2391,0.0758828,463.33,10.0399,519.618,
4-1-2016T14-08-42,7.044,24.46,13.3291,0.0755284,466.846,10.0329,522.396,
4-1-2016T14-08-47,6.934,24.46,13.2774,0.0743296,471.886,9.91552,524.62,
4-1-2016T14-08-52,6.806,24.458,12.9781,0.0718575,472.278,9.62276,526.068,
4-1-2016T14-08-57,6.712,24.45,13.201,0.0724135,467.91,9.72896,526.717,
4-1-2016T14-09-02,6.672,24.45,13.5796,0.0739866,464.922,9.96405,527.305,
4-1-2016T14-09-07,6.66,24.45,13.0107,0.0704972,464.93,9.51252,528.443,
4-1-2016T14-09-12,6.652,24.45,12.6904,0.0683338,464.382,9.2408,529.574,
4-1-2016T14-09-17,6.622,24.45,13.4987,0.0722239,466.062,9.78873,530.176,
4-1-2016T14-09-22,6.61,24.45,14.0466,0.0749054,463.302,10.1641,529.751,
4-1-2016T14-09-27,6.602,24.45,13.565,0.0723539,469.734,9.81711,528.745,
4-1-2016T14-09-32,6.648,24.45,13.3686,0.0714744,466.318,9.68981,527.809,
4-1-2016T14-09-37,6.688,24.45,13.6607,0.0733329,466.964,9.92767,526.626,
4-1-2016T14-09-42,6.7,24.45,13.7529,0.0742726,465.464,10.0337,524.759,
4-1-2016T14-09-47,6.708,24.45,13.2715,0.0722867,466.252,9.73623,522.191,
4-1-2016T14-09-52,6.71,24.45,12.7682,0.0703131,461.996,9.43394,519.686,
4-1-2016T14-09-57,6.706,24.45,12.7543,0.0711708,458.364,9.50482,517.123,
4-1-2016T14-10-02,6.664,24.45,12.8943,0.0729941,454.0,9.69925,514.367,
4-1-2016T14-10-07,6.622,24.45,13.0274,0.0748718,452.466,9.89612,511.62,
4-1-2016T14-10-12,6.62,24.446,13.1001,0.0765138,451.65,10.0561,508.258,
4-1-2016T14-10-17,6.652,24.44,12.8342,0.076365,451.458,9.97125,504.016,
4-1-2016T14-10-22,6.696,24.44,12.5828,0.076431,451.394,9.90775,500.46,
4-1-2016T14-10-27,6.708,24.44,12.4964,0.0773764,448.972,9.96317,498.154,
4-1-2016T14-10-32,6.716,24.44,12.4649,0.0784677,448.304,10.0455,496.102,
4-1-2016T14-10-37,6.71,24.44,11.9403,0.0761961,440.988,9.7085,494.214,
4-1-2016T14-10-42,6.686,24.44,11.3987,0.0736219,437.888,9.34118,492.898,
4-1-2016T14-10-47,6.65,24.44,11.3018,0.0737118,435.226,9.32092,492.415,
4-1-2016T14-10-52,6.652,24.44,11.5006,0.0754018,435.086,9.51743,493.251,
4-1-2016T14-10-57,6.664,24.44,11.2507,0.073627,435.828,9.29959,495.918,
4-1-2016T14-11-02,6.678,24.44,10.7586,0.0698575,440.452,8.84766,498.621,
4-1-2016T14-11-07,6.68,24.44,10.6801,0.0686412,447.882,8.7248,500.394,
4-1-2016T14-11-12,6.7,24.44,10.7535,0.0684065,448.302,8.72626,502.068,
4-1-2016T14-11-17,6.726,24.44,10.5083,0.0661997,450.056,8.47354,503.815,
4-1-2016T14-11-22,6.758,24.44,10.4572,0.0650743,452.3,8.36525,506.878,
4-1-2016T14-11-27,6.78,24.44,11.3319,0.0692235,452.214,8.95622,511.054,
4-1-2016T14-11-32,6.78,24.432,11.941,0.0715372,454.81,9.31867,514.645,
4-1-2016T14-11-37,6.78,24.43,12.0245,0.0707782,456.292,9.2768,517.423,
4-1-2016T14-11-42,6.738,24.43,12.2113,0.0706878,456.376,9.31923,519.832,
4-1-2016T14-11-47,6.646,24.43,12.9092,0.073552,451.098,9.75095,521.879,
4-1-2016T14-11-52,6.562,24.43,13.494,0.0758711,452.034,10.1054,523.592,
4-1-2016T14-11-57,6.516,24.43,13.8893,0.0772312,448.406,10.3268,524.997,
4-1-2016T14-12-02,6.588,24.43,14.0519,0.077439,443.918,10.3872,526.048,
4-1-2016T14-12-07,7.16,24.43,13.9024,0.0760254,447.134,10.2253,527.257,
4-1-2016T14-12-12,7.258,24.43,14.1491,0.0768191,444.174,10.3582,527.998,
4-1-2016T14-12-17,7.226,24.43,14.1033,0.0762552,442.522,10.2972,527.644,
4-1-2016T14-12-22,7.032,24.44,13.7271,0.0741401,443.042,10.0154,527.089,
4-1-2016T14-12-27,6.894,24.44,13.5343,0.0731151,443.482,9.87628,526.78,
4-1-2016T14-12-32,6.836,24.44,13.4839,0.0729005,442.278,9.84459,526.477,
4-1-2016T14-12-37,6.808,24.44,13.49,0.0730393,446.674,9.85835,525.985,
4-1-2016T14-12-42,6.8,24.44,13.3535,0.072422,445.814,9.76929,525.803,
4-1-2016T14-12-47,6.836,24.44,12.7451,0.0691311,446.042,9.32495,526.554,
4-1-2016T14-12-52,6.832,24.44,12.1715,0.065829,438.17,8.88854,528.197,
